,name,name2,position
6,Gerard Moreno,gerard moreno,FW
7,Gabriel Pires,gabriel pires,FW
8,Isco,isco,FW
9,Gonçalo Guedes,goncalo guedes,FW
10,Jonathan Viera,jonathan viera,FW
11,Raúl García,raul garcía,FW
12,Rodrigo,rodrigo,FW
13,Cristhian Stuani,cristian stuani,FW
14,Willian José,william jose,FW
15,Joaquín,joaquin,FW
16,José Luis Morales,jose luis morales,FW
17,Karim Benzema,karim benzema,FW
18,Mikel Oyarzabal,mikel oyarzabal,FW
19,Pione Sisto,pione sisto,FW
20,Carlos Bacca,carlos bacca,FW
21,Adrián López,adrian lopez,FW
22,Maximiliano Gómez,maximiliano gomez,FW
23,Manu Trigueros,manu trigueros,FW
24,Ángel Correa,angel correa,FW
25,Simone Zaza,simone zaza,FW
26,Lucas Pérez,lucas perez,FW
27,Munir El-Haddadi,munir el haddadi,FW
28,Portu,portuguese,FW
29,Iñaki Williams,inaki williams,FW
30,Ángel Rodríguez,angel rodriguez,FW
31,Léo Baptistão,leo baptistao,FW
32,Santi Mina,saint mina,FW
33,Franco Vázquez,franco vazquez,FW
34,Gonzalo Castro,gonzalo castro,FW
35,Pablo Sarabia,pablo sarabia,FW
36,Joaquín Correa,joaquin correa,FW
37,Ryad Boudebouz,ryad boudebouz,FW
38,Aritz Aduriz,aritz aduriz,FW
39,Jorge Molina,george molina,FW
40,Wissam Ben Yedder,wisam ben yedder,FW
41,Rubén Sobrino,ruben sobrino,FW
42,Sergi Enrich,sergi enrich,FW
43,Emmanuel Boateng,emmanuel boateng,FW
44,Kike García,kike garcia,FW
45,Sergio León,sergio leon,FW
46,Iñigo Córdoba,inigo cordoba,FW
47,Charles,charles,FW
48,Diego Rolan,diego rollan,FW
49,Jonathan Calleri,jonathan calleri,FW
50,Enes Ünal,enes unal,FW
51,Luis Muriel,luis muriel,FW
52,Miguel Ángel Guerrero,miguel angel guerrero,FW
53,Denis Cheryshev,denis cheryshev,FW
54,Emre Mor,emre mor,FW
55,Nicola Sansone,nicholas sansone,FW
56,Youssef En-Nesyri,youssef en-nesyri,FW
57,Kevin Gameiro,kevin gameiro,FW
58,Juanmi,juanmi,FW
59,Sergio García,sergio garcia,FW
60,Fernando Torres,fernando torres,FW
61,Brais Méndez,brais mendez,FW
62,Gaku Shibasaki,gaku shibasaki,FW
63,Nordin Amrabat,nordin amrabat,FW
64,Florin Andone,florin andone,FW
65,Claudio Beauvue,claudio beauvue,FW
66,Óscar Melendo,oscar melendo,FW
67,Borja Bastón,borja baston,FW
0,Lionel Messi,lionel messi,FW
1,Luis Suárez,luis suarez,FW
2,Iago Aspas,iago aspas,FW
3,Karim Benzema,karim benzema,FW
4,Antoine Griezmann,antoine griezmann,FW
5,Ousmane Dembélé,ousmane dembele,FW
6,Wissam Ben Yedder,wisam ben yedder,FW
7,Raúl García,raul garcía,FW
8,Pablo Sarabia,pablo sarabia,FW
9,Jonathan Calleri,jonathan calleri,FW
10,Giovani Lo Celso,giovanni lo celso,FW
11,Enric Gallego,enric gallego,FW
12,Cristhian Stuani,cristian stuani,FW
13,Sofiane Boufal,sofiane boufal,FW
14,Iñaki Williams,inaki williams,FW
15,Brais Méndez,brais mendez,FW
16,Jorge Molina,george molina,FW
17,Maximiliano Gómez,maximiliano gomez,FW
18,Raúl de Tomás,raul de tomas,FW
19,André Silva,andre silva,FW
20,Borja Iglesias,borja iglesias,FW
21,Rodrigo,rodrigo,FW
22,Youssef En-Nesyri,youssef en-nesyri,FW
23,Guido Carrillo,guido carrillo,FW
24,Gonçalo Guedes,goncalo guedes,FW
25,Jaime Mata,jaime mata,FW
26,Gareth Bale,gareth bale,FW
27,Franco Vázquez,franco vazquez,FW
28,Joaquín,joaquin,FW
29,José Luis Morales,jose luis morales,FW
